City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
179,Ust-Kut,RU,83.28,scattered clouds,56.7938,105.7672,Otel Flagman
181,Matara,LK,79.9,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
182,College,US,62.55,overcast clouds,64.8569,-147.8028,Pike's Waterfront Lodge
185,Salinopolis,BR,78.1,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
187,Komsomolskiy,UZ,79.52,scattered clouds,40.4272,71.7189,Ikathouse
188,Faanui,PF,78.33,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
190,Vigrestad,NO,60.48,light rain,58.5667,5.7,Brusand Camping
191,Kahului,US,83.97,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
192,Praya,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
194,Asfi,MA,68.77,clear sky,32.2994,-9.2372,Hôtel Abda
196,Ejea De Los Caballeros,ES,71.74,clear sky,42.1263,-1.1372,Hotel Ciudad De Ejea
197,Bathsheba,BB,80.31,overcast clouds,13.2167,-59.5167,Atlantis Hotel
198,Ko Samui,TH,83.89,overcast clouds,9.5357,99.9357,The Passage
200,Karla,EE,66.56,broken clouds,59.3723,24.9275,River Villa
201,Katsuura,JP,87.91,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
202,Kavieng,PG,85.15,light rain,-2.5744,150.7967,Nusa Island Retreat
203,Meulaboh,ID,78.94,overcast clouds,4.1363,96.1285,Kost Pria
205,Biak,ID,82.09,scattered clouds,-0.9131,122.8766,Penginapan Kim
207,Amherst,US,77.52,clear sky,41.3978,-82.2224,Days Inn by Wyndham Amherst
208,Belen,TR,72.03,clear sky,36.4891,36.2233,Varlıbaş Uyku Sarayı
209,Phan Thiet,VN,84.92,overcast clouds,10.9333,108.1,Hotel Saigon-PT
211,Mbandaka,CD,74.23,overcast clouds,0.0487,18.2603,Guest House Epervier
212,Tel Aviv-Yafo,IL,79.21,scattered clouds,32.0805,34.7805,Ben Yehuda Apartments
221,Idaho Falls,US,78.89,few clouds,43.4666,-112.0341,Hilton Garden Inn Idaho Falls
223,Kunming,CN,67.78,overcast clouds,25.0389,102.7183,Green Land Hotel
225,Kieta,PG,84.29,light rain,-6.2167,155.6333,Uruna Bay Retreat
229,Bud,US,80.56,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
232,Puerto Escondido,MX,80.1,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
233,Lumut,MY,81.18,overcast clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
235,Sakakah,SA,82.74,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
236,Eufaula,US,84.25,broken clouds,31.8913,-85.1455,Days Inn by Wyndham Eufaula AL
238,Kashi,CN,88.18,scattered clouds,39.4547,75.9797,帕米尔青年旅舍
239,Ouagadougou,BF,75.33,scattered clouds,12.3642,-1.5383,Centrale Hotel
240,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
241,Flin Flon,CA,65.89,clear sky,54.7682,-101.865,Victoria Inn Flin Flon
242,Sao Filipe,CV,74.66,overcast clouds,14.8961,-24.4956,Hotel Xaguate
243,Mahebourg,MU,71.26,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
244,Sulangan,PH,84.67,scattered clouds,11.1373,123.7228,Maia's Beach Resort
